"Tweet id","Tweet permalink","Tweet text","time","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"1368810303039803393","https://twitter.com/paulapivat/status/1368810303039803393","I wonder if i'm overusing questions in my lead-in tweets 🤔

They to do better when I answer the question without revealing anything. 

My top lead-in tweets had a clear countable take-aways for the reader (e.g., 5 concepts or 52 options).","2021-03-08 06:26 +0000","39.0","1.0","0.02564102564102564","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1368810301118771201","https://twitter.com/paulapivat/status/1368810301118771201","Top lead-in tweets (Media Engagement per Impression)

Days:

32: https://t.co/cLxB8iPONu
46: https://t.co/5f9DS0sbxv
55: https://t.co/agrO5wF6Th
54: https://t.co/lNTAAN6AFH
2  : https://t.co/86QmmsK5UT","2021-03-08 06:26 +0000","40.0","1.0","0.025","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1368810298661085185","https://twitter.com/paulapivat/status/1368810298661085185","I tried to get cute with some fancy programming language, but realized good ol' excel was best suited for this task.

Here are my metrics https://t.co/NYBkPQbOa0","2021-03-08 06:26 +0000","61.0","9.0","0.14754098360655737","0.0","2.0","0.0","0.0","0.0","0.0","2.0","0.0","0","0","0","0","0","5","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1368810292486938626","https://twitter.com/paulapivat/status/1368810292486938626","Thanks to @dickiebush @Nicolascole77 and @dbustac for hosting the Office Hours that inspired this.

Rewinding a bit and playing catchup to the first session.

Detailed numbers 👇","2021-03-08 06:26 +0000","60.0","1.0","0.016666666666666666","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1368810289634762753","https://twitter.com/paulapivat/status/1368810289634762753","What is Data-Driven Writing?

I gathered data for 60 atomic essays.

Here's what I found👇 https://t.co/QM5n1eL3dP","2021-03-08 06:26 +0000","288.0","48.0","0.16666666666666666","1.0","2.0","4.0","1.0","0.0","0.0","21.0","0.0","0","0","0","0","0","19","19","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1368770147083636737","https://twitter.com/paulapivat/status/1368770147083636737","@edwardrooster thanks for sharing Edward. I find that immensely helpful...just put one foot in front of the other","2021-03-08 03:46 +0000","46.0","2.0","0.043478260869565216","0.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1368594538164482049","https://twitter.com/paulapivat/status/1368594538164482049","Day 7/

100 pushups 
35 pull-ups

2 mi walk

Warm-up: 20 sets in 19:16 mins
4 Burpees
6 Air squats
8 Sit-ups

cc: @j8son_ @austinschless @dbustac https://t.co/n7GEQglnyL","2021-03-07 16:08 +0000","140.0","9.0","0.06428571428571428","0.0","2.0","3.0","0.0","0.0","0.0","3.0","0.0","0","0","0","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1368397140733558790","https://twitter.com/paulapivat/status/1368397140733558790","@j8son_ awesome find indeed, beautiful view!!","2021-03-07 03:04 +0000","18.0","1.0","0.05555555555555555","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1368348828718362627","https://twitter.com/paulapivat/status/1368348828718362627","@austinschless Day 6, thanks for checking in!","2021-03-06 23:52 +0000","84.0","4.0","0.047619047619047616","0.0","1.0","1.0","2.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1368243355855982596","https://twitter.com/paulapivat/status/1368243355855982596","Creators take note 📝 #ship30for30 https://t.co/746q9SbqCd","2021-03-06 16:53 +0000","784.0","5.0","0.006377551020408163","1.0","0.0","2.0","2.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
